引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,心内科,心内科,40-45岁,硕士,,具有15年以上临床工作经验，能作为学科带头人。,1,面议,面议,面议,刚性,国内,,
,护理,护理,40-45岁,硕士,副主任护师以上,具有15年以上临床工作经验，能作为学科带头人。,1,面议,面议,面议,刚性,国内,,
,项目研发部,医学三维软件,30岁以上,硕士,,熟悉医疗影像三维建模、CAD/CAM软件编程，掌握医疗影像学和软件编程技术。,2,,5万元,无,均可,不限,,
天津市红桥医院,心血管介入,医疗,45岁以下,硕士,高级,二级及以上医院本专业工作经历，独立承担相应工作。,1,按规定,面议,面议,刚性,不限,红桥区,范迎春 86516130
,五官科,医疗,45岁以下,不限,高级,二级及以上医院本专业工作经历，独立承担相应工作。,1,按规定,面议,面议,刚性,不限,,
,泌尿外科,医疗,45岁以下,不限,高级,二级及以上医院本专业工作经历，独立承担相应工作。,1,按规定,面议,面议,刚性,不限,,
天津市红桥区中医医院,针灸科,针灸学,40岁以下,硕士及以上,副高级,具有10年以上相关工作经验，三甲医院工作经历。,1月2日,按规定,面议,无,刚性,不限,红桥区,范迎春 86516130
,骨伤科,中医骨伤学,40岁以上,硕士及以上,,具有10年以上相关工作经验，三甲医院工作经历。,1月2日,按规定,面议,无,刚性,不限,,
天津市西青医院,心胸外科,临床医学或外科学,45岁以下,不限,副主任医师及以上,在三甲医院工作10年及以上。能独立带科。,1,按区人才引进政策,,,均可,不限,西青区,杜玉青      022-27960418
,神经病学内科,临床医学、神经病学或内科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,神经外科,临床医学或外科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,普外科学,临床医学或外科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,消化病学内科,临床医学或内科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,肿瘤科,临床医学、内科学或外科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,儿科学科与新生儿学科,临床医学或儿科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,病理科,临床医学、病理学与病理生理学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,医学检验科,临床检验诊断学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,放射诊断学科,临床医学、医学影像学或影像医学与核医学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,急诊医学科,临床医学、内科学或外科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,泌尿外科学,临床医学或外科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,肾病学内科,临床医学或内科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,结缔组织疾病科,临床医学或内科学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,康复医学科,临床医学、康复医学与理疗学、康复治疗学、针灸推拿学或中医学,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
,医学工程部,生物医学工程,45岁以下,不限,,在三甲医院工作10年及以上。能独立带科。,1,,,,均可,不限,,
天津市宁河原种猪场,专业技术岗位,动物遗传,30岁,硕士,不限,具有1年相关工作经验，具有较高遗传育种知识。,1,6,无,无,柔性,国内,宁河区,李文淑 69431311
,技术服务部,畜牧兽医,30岁,硕士,不限,具有1年相关工作经验，具有较强畜牧兽医专业知识。,1,6,无,无,柔性,国内,,
天津生机集团股份有限公司,博士后,畜牧、兽医化工、药学、动物科学、生物制品、制剂学,不限,博士,高工,具有3年以上相关工作经验，发表过相关的学术论文。,2,面议,无,无,均可,不限,高新区,李宏伟 83726855
,博士,,不限,博士,不限,,1,面议,无,无,均可,不限,,
天津市宽达水产食品有限公司,食品研发工程师,食品科学/水产品加工等相关,40岁以下,不限,不限,具有5以上年相关食品行业工作经验。相关专业理论知识扎实；了解鱼糜制品的相关工艺、改进及优化；可自主开发新产品。,2,面议,无,宿舍,刚性,国内,东丽区,张玲   58666675
,技术工程师,水产品加工相关,不限,硕士及以上,不限,具有10年以上水产品加工相关工作经验。对水产加工具有深入的研究；了解市场发展动态；熟悉水产品的特性及水产品加工的工艺流程；能够指导生产、改进工艺，具有创新的思维。,2,面议,无,无,柔性,不限,,
天津滨海乐氏商贸有限公司,董事长助理,管理类,35岁以下,硕士,中级,具有10年相关工作经验。,1,9.6,无,无,柔性,国内,河北区,王芳   26296332
渤海商品交易所,融资业务人员,不限,不限,博士,不限,具有3年以上工业品融资工作经验。熟悉银行大宗工业商品融资业务，涉及过煤焦类产品融资业务者优先。,2,面议,无,无,均可,不限,河北区,王芳   26296332
,仓储物流管理人员,不限,不限,博士,不限,具有3年以上大型仓储企业仓储业务相关经验。熟悉仓库业务流程，监管体系，有极强的风控意识，涉及过煤焦类产品仓储业务者优先。,3,面议,无,无,均可,不限,,
,数据库工程师,不限,不限,硕士,中级及以上,具有3年以上DBA相关工作经验者优先；精通oracle数据库配置、备份、优化、监控，熟悉linux，熟悉shell或perl编程；精通大规模linux环境下数据库运营和维护。,不限,面议,无,无,均可,不限,,
,安全工程师,不限,不限,博士,中级及以上,精通渗透测试，熟悉安全测试方法，熟练掌握各种渗透测试工具，精通安全攻防技术；对常见的Web编程语言要有一定的解读能力，具有一定的编程能力，熟悉至少一种编程语言；精通常见的Web漏洞类型及原理（有实际经验者优先考虑）。精通Android、iOS或Windows Phone中一种或多种无线平台，熟悉移动APP编程，有移动APP安全相关工作经验者优先。,不限,面议,无,无,均可,不限,,
,网络工程师,不限,不限,硕士,中级及以上,有大型网络的规划、设计、运维及优化经验，对于前瞻性技术和发展方向有一定研究。深入了解TCP/IP协议，精通OSPF、ISIS、BGP等常用路由协议，精通常用网络技术如Qos、VRRP、VLAN、ACL、RSVP等；熟悉省级运营商IP数据网络架构，有电信级大型项目施工经验者优先。,不限,面议,无,无,均可,不限,,
,系统运维和技术支持,金融类、计算机类及相关,不限,硕士,高级,计算机操作熟练，熟练使用办公软件（尤其是Excel和Word）；了解一定的金融证券行业背景知识，有相关工作经验者优先。,不限,面议,无,无,均可,不限,,
,高级系统管理员,计算机,不限,硕士,高级,具有3年以上支持软件开发团队进行系统运维经验，有数据库系统运维经验的优先；精通Linux操作系统，熟练掌握Linux常用命令，能独立安装维护常用的Linux应用软件及软件开发相关软件：数据库、应用服务器等；丰富的基于Linux的网络基础设施的相关知识及实践，如DNS，路由协议，TCP、UDP、HTTP，SMTP及FTP；熟悉系统管理相关的编程脚本，如shell、PERL等。,不限,面议,无,无,均可,不限,,
,高级网络工程师,计算机,不限,硕士,高级,精通IP路由及交换技术，熟悉各类网络产品的配置和管理；对网络安全体系有深入理解，有网络安全事件的紧急处置经验和能力；熟悉网管技术体系及产品，有大型网管系统的建设及维护经验；熟练掌握网络协议分析方法；熟悉主流服务器产品；具有CCNP以上资质认证。,不限,面议,无,无,均可,不限,,
,高级数据库管理员,计算机,不限,硕士,高级,具有3年以上相关数据库工作经验。精通oracle数据库的运行机制和体系架构；精通/熟悉oracle数据库的管理，经验丰富者优先；有大规模数据存储、分表/分库、集群、复制和数据库中间件经验；能编写各种数据库的监控和运维脚本。,不限,面议,无,无,均可,不限,,
,Java软件开发工程师,计算机,不限,硕士,中级及以上,具有3年以上实际JAVA项目开发实施工作经验；良好的英文读写能力。精通J2EE及主流框架如Struts、Spring、Hibernate等的开发技；熟练使用Javascript、Extjs、jquery等web前台开发技术；熟练使用Oracle、Mysql等主流数据库，并掌握存储过程的开发技术。熟悉各种Java应用服务器的使用；熟悉LINUX，UNIX操作系统。,不限,面议,无,无,均可,不限,,
,高级Java开发工程师,计算机,不限,硕士,高级,具有5年以上使用JAVA开发的经验，对于你用过的开源框架，能了解到它的原理和机制；良好的英文读写能力；Java基础扎实，对JVM原理有一定的了解；熟悉面向对象设计开发；熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索、推荐等机制；能对分布式常用技术进行合理应用，解决问题；掌握Linux 操作系统和大型数据库；有较强的分析设计能力和方案整合能力。,不限,面议,无,无,均可,不限,,
,高级算法工程师,计算机机器学习、数据挖掘处理方向、数学统计学、应用数学方向优先,不限,硕士,高级,对数据挖掘算法有一定了解和心得，有过相关工作经验优先；有互联网相关行业或研究院背景，有网站用户行为研究和数据挖掘经验尤佳。熟悉分布式计算的原理及系统开发；对数据敏感，有良好的分析问题与发现问题的能力，善于归纳技术方案的特性，并找出其不足与改进方法；至少熟练掌握一门开发语言(java C等)。,不限,面议,无,无,均可,不限,,
,测试工程师,计算机,不限,硕士,中级及以上,具有2-5年以上J2EE项目软件测试或研发等工作经验；有电子支付行业，金融或银行测试经验者优先。能多角度设计测试用例，有简单的编程或脚本编写能力，有DB2、ORACLE、SQLServer等数据库经验；熟悉LINUX 命令、UNIX命令、SQL 语句；熟悉软件测试理论及方法，精通各类软件测试工具的使用；能够进行从黑盒测试到系统集成测试的全流程测试和性能测试、压力测试等专门测试；对性能测试及自动化测试工具LoadRunner、QTP、Jmeter等有实际经验者优先。,不限,面议,无,无,均可,不限,,
,战略研究员,经济、金融、统计学科相关,不限,博士,不限,熟悉国家经济、金融方针政策，经济金融理论基础好，具有优秀的理论研究和实证分析能力，在大宗商品交易、国际贸易、电子商务等领域有一定研究经验者优先考虑；具有较强的文字表达能力，能够撰写各类研究报告；具备一定的数据处理能力，统计分析能力；熟练的英文听、说、读、写能力。,不限,面议,无,无,均可,不限,,
,业务核算会计,会计学、注册会计师、注册税务师,不限,硕士,中级,具有5年以上相应职位工作经验。熟悉会计业务、公司法、合同法、财务会计法、审计法、税法及经济法规。具有较强的文字表达能力。熟练使用财务软件，EXCEL、WORD软件。,不限,面议,无,无,均可,不限,,
天津欧派集成家居有限公司,橱柜厂副厂长,工科,30-38岁,不限,工程师,制造型外企或知名国内企业中层生产管理5年经验。良好的沟通协调能力，良好的工作压力承受能力，熟悉质量管理体系的运作，熟悉TPM推行，熟悉5S的推行，熟悉生产现场的持续改善，对MRP生产管理体系有一定的理解，了解精益生产。,2,20-26,无,无,均可,不限,静海县,刘芳芳 59595630
天津聚龙嘉华投资集团有限公司 ,营销总监/经理,不限,28-45岁,不限,总监/经理,打造营销团队，具有益海嘉里工作经历优先。,5,市场水平,无,面议,均可,国内,保税区,集团人力资源部 022-58182767
,品牌总监/经理,不限,28-45岁,不限,总监/经理,实现国际化品牌运作团队建立，具有益海嘉里工作经历优先。,4,市场水平,无,面议,均可,国内,,
,财务总监/经理,财务类,28-45岁,不限,总监/经理,完善财务核算团队，具有益海嘉里工作经历优先。,6,市场水平,无,面议,均可,不限,,
,金融总监/经理,金融类,28-45岁,不限,总监/经理,完成金融团队多元化转变，同行业者优先考虑。,8,市场水平,无,面议,均可,不限,,
,研发总监/经理,油脂类,26-38岁,硕士,总监/经理,完成公司产品转型升级，具有益海嘉里工作经历优先。,3,市场水平,无,面议,均可,国内,,
,人力资源总监/经理,管理类,30-45岁,不限,总监/经理,完成HRBP团队搭建，有华为工作经历者优先。,8,市场水平,无,面议,均可,不限,,
天津市宏路园林绿化工程有限公司,副总经理,工程建筑,35-45岁,硕士,高级,具有10年大中型项目开发管理经验，5年项目总经理经验。独立主持过大型项目的开发建设，全面了解项目全程运作流程。可接受外派工作。,1,15-20,无,无,均可,不限,河北区,王芬   26296332
天津市福莱特装饰设计工程有限公司,建筑设计师,建筑学和相关,不限,博士,高级,具有有5年以上建筑工程行业设计或规划工作经验。具有较强的大型工程项目方案设计能力；熟悉项目设计流程，具有项目场地设计规划设计、建筑设计能力。,不限,面议,无,无,均可,不限,河北区,
天津壹生环保科技有限公司,研发主管,环保、化工等相关,35岁以下,博士,不限,有工程经验者优先；有实验室认证经验者优先。参加过省部级以上课题的申请与实施。,2,面议,面议,无,刚性,不限,高新区,吴天骄 83946359
天津外国语大学,教师,日语语言文学,45岁以下,硕士及以上,教授,具有3年以上高校、科研院所或相关岗位工作经历。近三年主持过省部级及以上科研项目，出版本专业方向的专著一部或主编高水平教材一部且重要刊物独立发表过四篇以上高水平论文。,2,面议,,,刚性,不限,河西区,孙毅   23284236
,教师,意大利语,40岁以下,硕士及以上,副教授,意大利留学毕业的优秀博士，有高校教授意大利语经验者优先。近五年来完成过所从事学科的研究性专著，主持过一个省部级以上的社科研究项目，在国内外核心期刊上独立（或以第一作者）发表过三篇论文。,1,,,,刚性,不限,,
,教师,葡萄牙语,40岁以下,硕士及以上,不限,海外优秀博士，具有国际学术背景。近五年来独立完成过所从事学科的研究性专著，主持过一个省部级以上的社科研究项目，在国内外核心刊物上独立（或以第一作者）发表过3－5篇研究性论文。,1,,,,刚性,不限,,
,教师,韩语（朝鲜语）,45岁以下,硕士及以上,副教授,国内外高校工作3年以上。近年来公开发表较高水平学术论文两篇以上、公开出版学术专著（10万字）一部以上、主持校级以上教改或科研项目一项以上。,1,,,,刚性,不限,,
,教师,新闻学,45岁以下,硕士及以上,教授,国内外高校工作5年以上。至少主持过三项省部级及以上科研项目；近三年发表核心期刊论文五篇以上或出版20万字以上专著一部。,1,,,,刚性,不限,,
,教师,新闻学,40岁以下,硕士及以上,副教授,国内外高校工作5年以上。至少主持过两项省部级及以上科研项目；近五年发表核心期刊论文五篇以上或出版20万字以上专著一部。,1,,,,刚性,不限,,
,教师,设计艺术学（动画、数字媒体艺术）、电影学,40岁以下,硕士及以上,副教授,国内外高校工作5年以上。近五年发表核心期刊论文五篇以上；主持过省部级及以上科研项目。,1,,,,刚性,不限,,
,教师,教育技术学,40岁以下,硕士及以上,副教授,国内高校工作5年。近五年发表核心期刊论文五篇以上；至少主持过两项省部级及以上科研项目。,1,,,,刚性,不限,,
,教师,计算机科学与技术类,40岁以下,硕士及以上,副教授,国内高校工作5年。近五年发表核心期刊论文五篇以上；至少主持过两项省部级及以上科研项目。,1,,,,刚性,不限,,
,教师,法学（国际法）,45岁以下,硕士及以上,副教授,国内高校或科研机构工作三年以上。近五年在核心期刊发表学术论文六篇以上，承担省部级及以上课题一项。,1,,,,刚性,不限,,
,教师,行政管理,45岁以下,硕士及以上,副教授,国内高校或科研机构工作三年以上，有海外工作经历优先。近五年在核心期刊发表学术论文五篇以上，承担省部级及以上课题一项。,2,,,,刚性,不限,,
,教师,国际政治,45岁以下,硕士及以上,副教授,国内高校或科研机构工作三年以上，有海外工作经历优先。近五年在核心期刊发表学术论文五篇以上，承担省部级及以上课题一项。,1,,,,刚性,不限,,
,教师,语言学及应用、语言学（对外汉语）,45岁以下,硕士及以上,副教授,具有海外研修或工作经历，国内高校工作五年以上。具有较高的教学与学术科研能力，主持完成一项省部级以上项目，近五年已在CSSCI期刊发表论文三篇及以上。,1,,,,刚性,不限,,
,教师,英语语言文学,45岁以下,硕士及以上,教授,国内高校工作五年以上。近五年主持过省部级及以上科研项目，出版专著一部或主编高水平教材一部且重要刊物独立发表过三篇以上高水平论文。,1,,,,刚性,不限,,
天津音乐学院,作曲系主任,作曲,50岁以下,博士,高级,具有作曲专业相关的管理经历，具备一定的管理经验。专业成绩显著，有作品曾获重要专业奖项；管理能力突出。,1,根据实际情况议定,,,均可,不限,河东区,赵霞   24160045
,音乐学教师,音乐学,50岁以下,博士,高级,具有相关专业教学经历与经验，有突出的专业成果，具有良好的科研能力和教学能力，专业成绩显著。,1,根据实际情况议定,,,均可,不限,,
,管弦系主任,管弦,50岁以下,不限,高级,具有管弦专业相关的管理经历，具备一定的管理经验。专业成绩显著，有作品曾获重要专业奖项；管理能力突出。,1,根据实际情况议定,,,均可,不限,,
,钢琴系主任,钢琴,50岁以下,不限,高级,具有管弦专业相关的管理经历，具备一定的管理经验。专业成绩显著，有作品曾获重要专业奖项；管理能力突出。,1,根据实际情况议定,,,均可,不限,,
天津工业大学,国家“千人计划”创新人才长期项目、短期项目,纺织、机械电子、机械设计、材料、生物、生物医学工程、制药工程、化学化工、环境科学与工程、信息通信工程、电子科学技术、计算机科学与工程、电气工程、控制理论与控制工程、自动化、数学、物理、光学、经济、金融、管理、工商、外语、艺术等相关,55岁以下,博士,教授,在海外知名高校、科研院所、国际知名企业或金融机构担任正教授或相当职务。从事自然科学、工程技术、经济金融、管理等领域的研究工作，具有世界一流的研究水平，近5年在重要核心刊物上发表具有重要影响的学术论文，或获得国际重要科技奖项或掌握重要实验技能、科学工程建设关键技术。,3,面议,长期项目国家资助100万，天津资助100万；短期项目国家资助50万，天津资助50万,面议,均可,海外,河东区,张华       022-83955270
,国家“青年千人计划”项目,,40岁以下,博士,,自然科学或工程技术领域，在海外知名高校取得博士学位，并有3年海外科研工作经历。在国内取得博士学位的，应在海外从事教学或研究工作5年，回国(来华)前在海外知名高校、科研机构或知名企业研发机构有正式教学或科研职位。,6,20,国家资助50元、科研经费100-300元，天津市资助50元,住房补贴120,均可,海外,,
,国家“特支计划”杰出人才、领军人才、青年拔尖人才等,,55岁以下,博士,教授,符合相应人才项目申报条件，师德高尚，学风正派，治学严谨，具有国际视野和竞争力，在本学科领域具有公认的学术声望和学术影响力、是所在专业领域的一流学者和学科建设领军人才或者发展潜力和创新能力突出的优秀青年拔尖人才。,3,面议,,面议,均可,不限,,
,教育部“长江学者奖励计划”特聘教授、讲座教授，国家杰出青年基金获得者,,55岁以下,博士,教授,符合教育部“长江学者奖励计划”特聘教授和讲座教授、国家杰出青年基金申报条件的海内外知名学者，或已入选“长江学者奖励计划”的特聘教授和讲座教授、获得国家杰出青年基金的专家学者。,3,面议,提供优厚的科研启动及配套经费，具体面议,特聘教授住房补贴200万元；特聘讲座教授提供专家公寓；国家杰青住房补贴150万元,均可,国内,,
,天津市“千人计划”创新人才长期项目、短期项目,,55岁以下,博士,副教授,短期项目要求与国家“千人计划”短期项目基本一致。长期项目一般要求在国外著名高校、科研院所担任相当于副教授职务的专家学者，承诺自被批准的半年内到岗工作，在国内连续工作不少于3年，且每年在国内工作时间不少于9个月。,3,24,长期项目科研配套经费100元，短期项目科研配套经费50元,长期住房补贴100元；短期住房补贴50元,均可,海外,,
,天津市“青年千人计划”项目,,40岁以下,博士,,所从事科研领域同龄人中的拔尖人才，有成为该领域学术或技术带头人的发展潜力。自然科学或工程技术领域，在海外知名高校取得博士学位，并有3年海外科研工作经历。回国(来华)前在海外知名高校、科研机构或知名企业研发机构有正式教学或科研职位引进后全职回国工作。,6,12,科研配套经费100元,住房补贴50元,刚性,海外,,
,天津市特聘教授、讲座教授,,45岁以下,博士,助理教授,特聘教授应聘人一般具有博士学位，在教学科研一线工作；海外应聘者一般应担任高水平大学助理教授职位或其他相应职位，国内应聘者应担任教授或其他相应职位。海外应聘讲座教授者一般应担任高水平大学助理教授职位或其他相应职位。人文社科类50岁以下。,5,19.5,特聘教授科研启动经费80元，讲座教授面议,特聘教授住房补贴60；讲座教授提供专家公寓,均可,不限,,
,天津工业大学“高层次引进人才支持计划”,,45岁以下,博士,助理教授,具有博士学位，一般应在国外高水平大学、科研院所担任助理教授职位或其他相应职位。国内应聘者应具有教授专业技术职务或其它相应职务。,6,10,科研经费40元,住房补贴40元,刚性,不限,,
,天津工业大学学科、学术带头人,,45岁以下,博士,不限,具有博士学位，正高级专业技术职务或教育部“新世纪优秀人才”支持计划等同级别人才计划入选者，在教学科研第一线工作。,10,按学校岗位聘任及分配方案执行,科研经费8-40万元,住房补贴20-40万元,刚性,不限,,
,天津工业大学“青年拔尖人才培养计划”,,40岁以下,博士,不限,博士学位、原则上具有副高级专业技术职务。,8,,科研经费10-30万元,住房补贴8-20万元,刚性,不限,,
,天津工业大学教学科研骨干,,35岁以下,博士,不限,具有博士研究生学位、学历，双证齐全（初始学历须为全日制本科），本科至最高学历均毕业于海外著名高校或国内985、211院校者优先，有海外工作经历者优先。正高45岁以下正高；副高40岁以下。,100,,科研经费≤10万,住房补贴3-8万元,刚性,不限,,
天津科技大学,机械工程学院特聘教授岗,材料加工工程,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历或具有教授职称。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,1,27.5,25-100元,25-50购房补贴,刚性,不限,河西区,王洪军     022-60273330
,机械工程学院特聘教授岗,化工过程机械,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历或具有教授职称。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,1,27.5,25-100元,25-50购房补贴,刚性,不限,,
,机械工程学院特聘教授岗,机械设计制造其自动化,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历或具有教授职称。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,3,27.5,25-100元,25-50购房补贴,刚性,不限,,
,材料科学与化学工程学院特聘教授岗,制浆造纸工程,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历或具有教授职称。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,1,27.5,25-100元,25-50购房补贴,刚性,不限,,
,材料科学与化学工程学院特聘教授岗,化学工程与技术,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历或具有教授职称。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,1,27.5,25-100元,25-50购房补贴,刚性,不限,,
,计算机学院特聘教授岗,计算机相关,45岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,3,27.5,25-50元,25-35购房补贴,刚性,不限,,
,生物工程学院国家千人计划岗,生物工程,55岁以下,博士,不限,海外正教授或相当职务。学术水平高、造诣深，在本学科领域学术上有所创新并取得高水平的成果。,1,面议,面议,面议,均可,海外,,
,生物工程学院天津市千人计划岗,生物工程或制药工程,55岁以下,博士,不限,海外正教授或相当职务。学术水平高、造诣深，在本学科领域学术上有所创新并取得高水平的成果。,1,32,150元,住房补贴100元,刚性,海外,,
,生物工程学院特聘教授岗,生物工程或制药工程,35岁以下,博士,不限,海外博士需要有3年海外科研经历；国内博士需要有5年海外科研经历。学术水平高、造诣深，在本学科领域中学术上有所创新并取得了高水平的成果。,3,27.5,25-50元,25-35购房补贴,刚性,不限,,
天津财经大学,学术骨干,政治经济学,40岁左右,博士,教授、研究员,在高校、科研院所工作。有一定数量的A类成果和国家级重点以上项目。,1,根据《天津财经大学关于引进高层次人才的实施意见》（津财大发[2014]100号）给予相应的薪酬待遇,面议,根据《天津财经大学关于引进高层次人才的实施意见》（津财大发[2014]100号）给予相应的住房待遇,均可,不限,河西区,宋爱军     022-88186151
,学术骨干,经济思想史,40岁左右,博士,教授、研究员,在高校、科研院所工作。有一定数量的A类和B1类成果。,1,,,,均可,不限,,
,学术骨干,西方经济学,40岁左右,博士,教授、研究员,在高校、科研院所工作。有一定数量的A类成果。国家级重点以上项目。,1,,,,均可,不限,,
,学科带头人或学术骨干,金融学,55岁以下,博士,教授,在高等学校任职，具备博士生导师资格，具有较高的学术水平。主持过国家级科研项目；在国内同行中有一定影响；具有较高的学术造诣；研究方向为金融学方向。,1,,,,均可,不限,,
,学术骨干,财政学,45岁以下,博士,教授,在高等学校任职。有一定数量的A类成果。主持过国家级及以上科研项目。,1,,,,均可,不限,,
,学术骨干,公共管理,45岁以下,博士,教授,在高等学校任职。有一定数量的A类成果。主持过国家级及以上科研项目。,1,,,,均可,不限,,
,学术骨干,国际贸易学,40岁以下,博士,教授、研究员,在高校、科研院所工作。有一定数量的A类和B1类成果和国家级以上项目，对国际贸易学科做出带头发展作用。,1,,,,均可,不限,,
,学科带头人,民商法、经济法、诉讼法、刑法、行政法、法理学、国际法、法史学,50岁以下,博士,正教授、博导,具有3年以上的博导资历；有5年以上的正教授资历。第一作者身份在《法学研究》、《中国法学》、《中国社会科学》上发表过2篇以上文章；主持并完成国家级课题或2项以上教育部重大攻关课题子课题；第一作者身份发表有影响的国际论文或著作，或发表10篇以上法学类核心CSSCI来源期刊文章。有省部级人才称号或重要的国家级学会学术兼职（常务理事或副秘书长以上）。通过北京大学、中国人民大学或南开大学2名同行名家评定并盖该学院或权威研究机构章，得分高于90分。,1月2日,,,,均可,不限,,
,优秀青年学者,民商法、诉讼法、刑法、行政法、经济法、法理学、国际法、法史学,45岁以下,博士,副教授，特别优秀者可为博士,一般要求副教授3年以上且具有硕导资格，特别优秀者可放宽条件。主持完成境外有影响课题，或主持国家级课题或相当于国家级课题的国家重大课题子课题，或主持完成省部级课题且第一排名身份获省部级奖；发表有影响的国际论文、著作，或发表10篇以上CSSCI类文章。985院校2名同行法学名家评分高于80分且盖该机构章。,1月2日,,面议,,均可,不限,,
,优秀青年学者,中共党史,40岁以下,博士,副教授及以上,具有高校教师工作经历。完成国家社科基金项目。,1,,,,均可,不限,,
,学术骨干,思想政治教育,40岁以下,博士,副教授及以上,具有高校教师工作经历。完成国家社科基金项目。,1,,,,均可,不限,,
,学术骨干,国外马克思主义,40岁以下,博士,副教授及以上,具有高校教师工作经历。完成国家社科基金项目。,1,,,,均可,不限,,
,学术骨干,外国语言文学,49岁以下,博士,副高及以上,具有高校、科研机构相关工作经历。主持教育部及以上级科研立项1项以上；发表CSSCI论文2篇以上。,5,,,,均可,不限,,
,学科带头人,传播学,45岁以下,博士,教授,具有高校教师工作经历。“千人计划”人才。,1,,,,均可,不限,,
,学科带头人,语言学,45岁以下,博士,教授,具有高校教师工作经历。“千人计划”人才。,1,,,,均可,不限,,
,学科带头人,产品设计,45岁以下,硕士及以上,教授,在艺术设计专业院校具有教学管理经历或者担任过学科带头人。坚持正确的政治立场，拥有优秀的学术品德。在本学科领域内具有较高的知名度和学术影响，研究领域居于学科前沿。具备较强的学科梯队建设能力和团队组织能力。,1,,,,均可,不限,,
,学科带头人,对外汉语,35岁以下,博士,副高及以上,具有高校对外汉语教学经历，教学经验丰富、科研能力突出。,1,,,,均可,不限,,
,学科带头人,国际贸易,40岁以下,博士,副教授以上,曾在CSSCI期刊发表论文10篇以上， SCI论文2篇以上，主持过国家级课题。,1,,面议,,均可,不限,,
,学科带头人,金融学与投资学,40岁以下,博士,副教授以上,曾在CSSCI期刊发表论文10篇以上， SCI论文2篇以上，主持过国家级课题。,1,,,,均可,不限,,
,学术骨干,统计学,50岁以下,博士,副教授及以上,在国外大学取得统计学博士学位，并在国外统计学顶尖杂志发表论文。,1,,,,均可,不限,,
,学术骨干,经济学,50岁以下,博士,副教授及以上,在国内知名大学取得经济学博士学位，并在国内经济学顶尖杂志发表论文。,1,,,,均可,不限,,
,学术骨干,计算机软件与理论,40岁以下,博士,副教授及以上,本、硕、博均要求计算机及相关专业，长期从事计算机软件与理论方向研究。主持完成国家自然基金项目1项或国家科技部科技支撑计划项目1项。,1,,,,均可,不限,,
,学术骨干,计算机系统结构,40岁以下,博士,副教授及以上,本、硕、博均要求计算机及相关专业，长期从事计算机系统结构方向研究。主持完成国家自然基金项目1项或国家科技部科技支撑计划项目1项。,1,,,,均可,不限,,
,学术骨干,软件工程,40岁以下,博士,副教授及以上,本、硕、博均要计算机及相关专业，长期从事软件工程方向研究，有企业软件开发工作经历。主持完成国家自然基金项目1项或国家科技部科技支撑计划项目1项。,1,,,,均可,不限,,
,学术骨干,信息工程,40岁以下,博士,副教授及以上,本、硕、博均要求信号与信息处理及相关专业，长期从事信息工程领域研究。主持完成国家自然基金项目1项或国家科技部科技支撑计划项目1项。,1,,,,均可,不限,,
